Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
	Custo: 57476, Tempo: 37.207516
	Custo: 57476, Tempo: 35.266270
	Custo: 57476, Tempo: 35.216881
	Custo: 57476, Tempo: 34.335869
	Custo: 57476, Tempo: 34.048313
	Custo: 57476, Tempo: 35.346809
	Custo: 57476, Tempo: 34.142204
	Custo: 57476, Tempo: 35.867249
	Custo: 57476, Tempo: 38.978905
	Custo: 57476, Tempo: 36.917751
Melhor custo: 57476, média dos tempos: 35.732779
Instancia: InstancesBRP/22Ottawa20.txt, Q: 20
	Custo: 16478, Tempo: 2.231209
	Custo: 16478, Tempo: 2.255689
	Custo: 16478, Tempo: 2.645523
	Custo: 16478, Tempo: 2.297864
	Custo: 16478, Tempo: 2.240045
	Custo: 16478, Tempo: 2.253525
	Custo: 16478, Tempo: 2.253124
	Custo: 16478, Tempo: 2.222918
	Custo: 16478, Tempo: 2.261756
	Custo: 16478, Tempo: 2.240254
Melhor custo: 16478, média dos tempos: 2.290191
Instancia: InstancesBRP/10Parma30.txt, Q: 30
	Custo: 29000, Tempo: 0.868641
	Custo: 29000, Tempo: 0.804867
	Custo: 29000, Tempo: 0.950909
	Custo: 29000, Tempo: 1.073297
	Custo: 29000, Tempo: 0.874918
	Custo: 29000, Tempo: 0.799025
	Custo: 29000, Tempo: 0.873607
	Custo: 29000, Tempo: 1.021410
	Custo: 29000, Tempo: 0.990986
	Custo: 29000, Tempo: 0.792353
Melhor custo: 29000, média dos tempos: 0.905001
Instancia: InstancesBRP/32Roma18.txt, Q: 18
	Custo: 68300, Tempo: 10.546128
	Custo: 68200, Tempo: 9.925310
	Custo: 68300, Tempo: 9.920350
	Custo: 68200, Tempo: 10.717937
	Custo: 68400, Tempo: 10.549940
	Custo: 68400, Tempo: 10.388150
	Custo: 68400, Tempo: 10.139135
	Custo: 68300, Tempo: 10.156123
	Custo: 68300, Tempo: 9.755736
	Custo: 68400, Tempo: 9.983284
Melhor custo: 68200, média dos tempos: 10.208209
Instancia: InstancesBRP/50Boston16.txt, Q: 16
	Custo: 76594, Tempo: 130.986572
	Custo: 75497, Tempo: 128.801041
	Custo: 76509, Tempo: 134.822586
	Custo: 75466, Tempo: 127.601189
	Custo: 76178, Tempo: 141.405167
	Custo: 77175, Tempo: 134.422714
	Custo: 76481, Tempo: 129.151520
	Custo: 76128, Tempo: 130.477676
	Custo: 75813, Tempo: 136.543686
	Custo: 76655, Tempo: 127.574966
Melhor custo: 75466, média dos tempos: 132.178711
Instancia: InstancesBRP/31Roma20.txt, Q: 20
	Custo: 66600, Tempo: 11.585950
	Custo: 66800, Tempo: 11.305997
	Custo: 66800, Tempo: 11.164862
	Custo: 66600, Tempo: 11.516049
	Custo: 66200, Tempo: 11.131360
	Custo: 66800, Tempo: 10.571229
	Custo: 66800, Tempo: 11.480454
	Custo: 66200, Tempo: 10.847386
	Custo: 66300, Tempo: 11.229522
	Custo: 66700, Tempo: 10.673981
Melhor custo: 66200, média dos tempos: 11.150679
Instancia: InstancesBRP/2Bari20.txt, Q: 20
	Custo: 15700, Tempo: 0.674329
	Custo: 15700, Tempo: 0.681965
	Custo: 15700, Tempo: 0.781892
	Custo: 15700, Tempo: 0.855257
	Custo: 15700, Tempo: 0.833156
	Custo: 15700, Tempo: 0.689169
	Custo: 15700, Tempo: 0.689698
	Custo: 15700, Tempo: 0.759967
	Custo: 15700, Tempo: 0.883040
	Custo: 15700, Tempo: 0.856043
Melhor custo: 15700, média dos tempos: 0.770452
Instancia: InstancesBRP/35Madison10.txt, Q: 10
	Custo: 34284, Tempo: 7.825744
	Custo: 34294, Tempo: 8.216295
	Custo: 34294, Tempo: 7.997525
	Custo: 34294, Tempo: 7.724960
	Custo: 34294, Tempo: 7.654386
	Custo: 34294, Tempo: 7.682867
	Custo: 34284, Tempo: 8.624956
	Custo: 34284, Tempo: 8.723667
	Custo: 34294, Tempo: 8.419695
	Custo: 34294, Tempo: 7.994903
Melhor custo: 34284, média dos tempos: 8.086499
Instancia: InstancesBRP/13Treviso30.txt, Q: 30
	Custo: 29259, Tempo: 1.699472
	Custo: 29259, Tempo: 1.947481
	Custo: 29259, Tempo: 1.707262
	Custo: 29259, Tempo: 1.851455
	Custo: 29259, Tempo: 1.834528
	Custo: 29259, Tempo: 1.819370
	Custo: 29259, Tempo: 1.918032
	Custo: 29259, Tempo: 1.672098
	Custo: 29259, Tempo: 2.017382
	Custo: 29259, Tempo: 1.666307
Melhor custo: 29259, média dos tempos: 1.813339
Instancia: InstancesBRP/49Boston20.txt, Q: 20
	Custo: 72959, Tempo: 127.320374
	Custo: 72732, Tempo: 126.396698
	Custo: 72842, Tempo: 115.634781
	Custo: 72490, Tempo: 120.349434
	Custo: 72467, Tempo: 128.466553
	Custo: 72733, Tempo: 123.796654
	Custo: 72702, Tempo: 124.882675
	Custo: 72864, Tempo: 128.761612
	Custo: 72566, Tempo: 129.291611
	Custo: 72375, Tempo: 128.637360
Melhor custo: 72375, média dos tempos: 125.353772
Instancia: InstancesBRP/25SanAntonio20.txt, Q: 20
	Custo: 24007, Tempo: 5.937354
	Custo: 24007, Tempo: 6.111978
	Custo: 23887, Tempo: 6.092232
	Custo: 23887, Tempo: 5.778988
	Custo: 23887, Tempo: 5.902756
	Custo: 23887, Tempo: 6.302450
	Custo: 23887, Tempo: 6.248694
	Custo: 24007, Tempo: 5.968547
	Custo: 23887, Tempo: 6.182718
	Custo: 23887, Tempo: 6.026972
Melhor custo: 23887, média dos tempos: 6.055269
Instancia: InstancesBRP/1Bari30.txt, Q: 30
	Custo: 15000, Tempo: 0.865962
	Custo: 15000, Tempo: 0.887172
	Custo: 15000, Tempo: 0.715486
	Custo: 15000, Tempo: 0.704230
	Custo: 15000, Tempo: 0.641225
	Custo: 15000, Tempo: 0.868706
	Custo: 15000, Tempo: 0.868498
	Custo: 15000, Tempo: 0.747559
	Custo: 15000, Tempo: 0.687297
	Custo: 15000, Tempo: 0.670748
Melhor custo: 15000, média dos tempos: 0.765688
Instancia: InstancesBRP/8Bergamo20.txt, Q: 20
	Custo: 12900, Tempo: 0.780142
	Custo: 12900, Tempo: 0.768716
	Custo: 12900, Tempo: 0.855374
	Custo: 12900, Tempo: 0.995178
	Custo: 12900, Tempo: 0.935653
	Custo: 12900, Tempo: 0.779751
	Custo: 12900, Tempo: 0.769474
	Custo: 12900, Tempo: 0.960792
	Custo: 12900, Tempo: 0.993104
	Custo: 12900, Tempo: 0.844066
Melhor custo: 12900, média dos tempos: 0.868225
Instancia: InstancesBRP/37Guadalajara20.txt, Q: 20
	Custo: 59894, Tempo: 39.648121
	Custo: 60159, Tempo: 37.359695
	Custo: 60044, Tempo: 40.894436
	Custo: 60175, Tempo: 40.036079
	Custo: 60231, Tempo: 39.946640
	Custo: 59894, Tempo: 39.070801
	Custo: 59894, Tempo: 37.779049
	Custo: 59894, Tempo: 37.838577
	Custo: 60159, Tempo: 39.618439
	Custo: 60217, Tempo: 36.633125
Melhor custo: 59894, média dos tempos: 38.882492
Instancia: InstancesBRP/30Roma30.txt, Q: 30
	Custo: 61900, Tempo: 12.174695
	Custo: 61900, Tempo: 10.965293
	Custo: 61900, Tempo: 10.748650
	Custo: 61900, Tempo: 12.267733
	Custo: 62000, Tempo: 10.842976
	Custo: 62000, Tempo: 11.026340
	Custo: 61900, Tempo: 11.094759
	Custo: 61900, Tempo: 10.887274
	Custo: 61900, Tempo: 11.223559
	Custo: 62000, Tempo: 10.612784
Melhor custo: 61900, média dos tempos: 11.184406
Instancia: InstancesBRP/15Treviso10.txt, Q: 10
	Custo: 31443, Tempo: 2.366713
	Custo: 31443, Tempo: 2.553128
	Custo: 31443, Tempo: 2.620700
	Custo: 31443, Tempo: 2.192617
	Custo: 31443, Tempo: 2.544047
	Custo: 31443, Tempo: 2.378738
	Custo: 31443, Tempo: 2.367619
	Custo: 31443, Tempo: 2.681616
	Custo: 31443, Tempo: 2.260679
	Custo: 31443, Tempo: 2.523264
Melhor custo: 31443, média dos tempos: 2.448912
Instancia: InstancesBRP/39Dublin30.txt, Q: 30
	Custo: 33921, Tempo: 60.463432
	Custo: 34306, Tempo: 54.821056
	Custo: 34263, Tempo: 56.133224
	Custo: 33591, Tempo: 54.843449
	Custo: 34264, Tempo: 57.681171
	Custo: 33933, Tempo: 57.109455
	Custo: 33615, Tempo: 57.040359
	Custo: 33548, Tempo: 59.494839
	Custo: 33548, Tempo: 57.292522
	Custo: 33934, Tempo: 56.123753
Melhor custo: 33548, média dos tempos: 57.100330
Instancia: InstancesBRP/7Bergamo30.txt, Q: 30
	Custo: 12600, Tempo: 0.893614
	Custo: 12600, Tempo: 1.024570
	Custo: 12600, Tempo: 0.900757
	Custo: 12600, Tempo: 0.792928
	Custo: 12600, Tempo: 0.795160
	Custo: 12600, Tempo: 1.041719
	Custo: 12600, Tempo: 1.014644
	Custo: 12600, Tempo: 0.807103
	Custo: 12600, Tempo: 0.795211
	Custo: 12600, Tempo: 0.950327
Melhor custo: 12600, média dos tempos: 0.901603
