Instancia: InstancesBRP/36Guadalajara30.txt, Q: 30
	Custo: 57476, Tempo: 12.181478
	Custo: 57476, Tempo: 13.117622
	Custo: 57476, Tempo: 12.719506
	Custo: 57476, Tempo: 13.182733
	Custo: 57476, Tempo: 13.026371
	Custo: 57476, Tempo: 12.843519
	Custo: 57476, Tempo: 13.917671
	Custo: 57476, Tempo: 11.942330
	Custo: 57476, Tempo: 12.376454
	Custo: 57476, Tempo: 12.254905
Melhor custo: 57476, média dos tempos: 12.756259
Instancia: InstancesBRP/22Ottawa20.txt, Q: 20
	Custo: 16478, Tempo: 1.068531
	Custo: 16478, Tempo: 1.069896
	Custo: 16478, Tempo: 1.083051
	Custo: 16478, Tempo: 1.410917
	Custo: 16478, Tempo: 1.475959
	Custo: 16478, Tempo: 1.261856
	Custo: 16478, Tempo: 1.418672
	Custo: 16478, Tempo: 1.161959
	Custo: 16478, Tempo: 1.086841
	Custo: 16478, Tempo: 1.344747
Melhor custo: 16478, média dos tempos: 1.238243
Instancia: InstancesBRP/10Parma30.txt, Q: 30
	Custo: 29000, Tempo: 0.564743
	Custo: 29000, Tempo: 0.443444
	Custo: 29000, Tempo: 0.432964
	Custo: 29000, Tempo: 0.436336
	Custo: 29000, Tempo: 0.437879
	Custo: 29000, Tempo: 0.427745
	Custo: 29000, Tempo: 0.424856
	Custo: 29000, Tempo: 0.434381
	Custo: 29000, Tempo: 0.440105
	Custo: 29000, Tempo: 0.434282
Melhor custo: 29000, média dos tempos: 0.447674
Instancia: InstancesBRP/32Roma18.txt, Q: 18
	Custo: 70700, Tempo: 2.783174
	Custo: 70300, Tempo: 2.586018
	Custo: 68600, Tempo: 2.536136
	Custo: 69500, Tempo: 2.660345
	Custo: 70000, Tempo: 2.729816
	Custo: 68800, Tempo: 2.770851
	Custo: 69700, Tempo: 2.516557
	Custo: 70200, Tempo: 2.549173
	Custo: 70400, Tempo: 2.452307
	Custo: 70100, Tempo: 2.530571
Melhor custo: 68600, média dos tempos: 2.611495
Instancia: InstancesBRP/50Boston16.txt, Q: 16
	Custo: 77182, Tempo: 12.295416
	Custo: 76494, Tempo: 13.002526
	Custo: 78090, Tempo: 13.416707
	Custo: 75673, Tempo: 13.907668
	Custo: 77415, Tempo: 13.483405
	Custo: 77482, Tempo: 13.891497
	Custo: 77763, Tempo: 13.883842
	Custo: 77274, Tempo: 12.519509
	Custo: 77130, Tempo: 13.086195
	Custo: 76803, Tempo: 14.393104
Melhor custo: 75673, média dos tempos: 13.387987
Instancia: InstancesBRP/31Roma20.txt, Q: 20
	Custo: 67400, Tempo: 2.353731
	Custo: 69100, Tempo: 2.144594
	Custo: 67000, Tempo: 2.753688
	Custo: 68000, Tempo: 2.191926
	Custo: 68800, Tempo: 2.481905
	Custo: 67100, Tempo: 2.558166
	Custo: 67300, Tempo: 2.330474
	Custo: 67000, Tempo: 2.635935
	Custo: 67900, Tempo: 2.612747
	Custo: 68100, Tempo: 2.810377
Melhor custo: 67000, média dos tempos: 2.487354
Instancia: InstancesBRP/2Bari20.txt, Q: 20
	Custo: 15700, Tempo: 0.316479
	Custo: 15700, Tempo: 0.314921
	Custo: 15700, Tempo: 0.320092
	Custo: 15700, Tempo: 0.335185
	Custo: 15700, Tempo: 0.318866
	Custo: 15700, Tempo: 0.324326
	Custo: 15700, Tempo: 0.399344
	Custo: 15700, Tempo: 0.411631
	Custo: 15700, Tempo: 0.403801
	Custo: 15700, Tempo: 0.433792
Melhor custo: 15700, média dos tempos: 0.357844
Instancia: InstancesBRP/35Madison10.txt, Q: 10
	Custo: 34284, Tempo: 2.923583
	Custo: 34284, Tempo: 3.513829
	Custo: 34284, Tempo: 3.200457
	Custo: 34284, Tempo: 2.883247
	Custo: 34284, Tempo: 3.220983
	Custo: 34284, Tempo: 3.467568
	Custo: 34284, Tempo: 3.242349
	Custo: 34284, Tempo: 3.291929
	Custo: 34284, Tempo: 2.891888
	Custo: 34284, Tempo: 3.114540
Melhor custo: 34284, média dos tempos: 3.175037
Instancia: InstancesBRP/13Treviso30.txt, Q: 30
	Custo: 29259, Tempo: 0.910096
	Custo: 29259, Tempo: 1.042068
	Custo: 29259, Tempo: 0.963397
	Custo: 29259, Tempo: 0.826773
	Custo: 29259, Tempo: 0.856294
	Custo: 29259, Tempo: 1.063521
	Custo: 29259, Tempo: 1.012055
	Custo: 29259, Tempo: 0.867865
	Custo: 29259, Tempo: 0.834543
	Custo: 29259, Tempo: 1.060688
Melhor custo: 29259, média dos tempos: 0.943730
Instancia: InstancesBRP/49Boston20.txt, Q: 20
	Custo: 72625, Tempo: 30.330875
	Custo: 72787, Tempo: 29.805054
	Custo: 72274, Tempo: 27.399839
	Custo: 72663, Tempo: 30.027412
	Custo: 72787, Tempo: 30.066128
	Custo: 73092, Tempo: 29.552982
	Custo: 72274, Tempo: 29.048023
	Custo: 72780, Tempo: 31.107656
	Custo: 73139, Tempo: 25.272335
	Custo: 72165, Tempo: 29.127508
Melhor custo: 72165, média dos tempos: 29.173779
Instancia: InstancesBRP/25SanAntonio20.txt, Q: 20
	Custo: 24553, Tempo: 1.259406
	Custo: 24553, Tempo: 1.239855
	Custo: 24553, Tempo: 1.453122
	Custo: 24553, Tempo: 1.605664
	Custo: 24650, Tempo: 1.427506
	Custo: 24553, Tempo: 1.787487
	Custo: 24650, Tempo: 1.304904
	Custo: 24553, Tempo: 1.304090
	Custo: 24553, Tempo: 1.681217
	Custo: 24553, Tempo: 1.269320
Melhor custo: 24553, média dos tempos: 1.433257
Instancia: InstancesBRP/1Bari30.txt, Q: 30
	Custo: 15000, Tempo: 0.332195
	Custo: 15000, Tempo: 0.360495
	Custo: 15000, Tempo: 0.431281
	Custo: 15000, Tempo: 0.445758
	Custo: 15000, Tempo: 0.439993
	Custo: 15000, Tempo: 0.433654
	Custo: 15000, Tempo: 0.366290
	Custo: 15000, Tempo: 0.340475
	Custo: 15000, Tempo: 0.343046
	Custo: 15000, Tempo: 0.332187
Melhor custo: 15000, média dos tempos: 0.382537
Instancia: InstancesBRP/8Bergamo20.txt, Q: 20
	Custo: 12900, Tempo: 0.451477
	Custo: 12900, Tempo: 0.525515
	Custo: 12900, Tempo: 0.597710
	Custo: 12700, Tempo: 0.584011
	Custo: 12900, Tempo: 0.576757
	Custo: 12900, Tempo: 0.469191
	Custo: 12900, Tempo: 0.461013
	Custo: 12900, Tempo: 0.461627
	Custo: 12900, Tempo: 0.452247
	Custo: 12900, Tempo: 0.549860
Melhor custo: 12700, média dos tempos: 0.512941
Instancia: InstancesBRP/37Guadalajara20.txt, Q: 20
	Custo: 59894, Tempo: 11.163847
	Custo: 59894, Tempo: 11.464476
	Custo: 59894, Tempo: 11.011146
	Custo: 59894, Tempo: 11.548551
	Custo: 59894, Tempo: 10.669072
	Custo: 59894, Tempo: 11.794128
	Custo: 59894, Tempo: 11.772087
	Custo: 59751, Tempo: 11.585964
	Custo: 59894, Tempo: 10.715083
	Custo: 59894, Tempo: 10.749394
Melhor custo: 59751, média dos tempos: 11.247374
Instancia: InstancesBRP/30Roma30.txt, Q: 30
	Custo: 61900, Tempo: 2.403976
	Custo: 62000, Tempo: 2.665238
	Custo: 61900, Tempo: 2.432512
	Custo: 61900, Tempo: 2.593578
	Custo: 62000, Tempo: 2.475346
	Custo: 62000, Tempo: 2.559270
	Custo: 62000, Tempo: 2.442002
	Custo: 62000, Tempo: 2.724411
	Custo: 62000, Tempo: 2.585176
	Custo: 62000, Tempo: 2.550775
Melhor custo: 61900, média dos tempos: 2.543229
Instancia: InstancesBRP/15Treviso10.txt, Q: 10
	Custo: 31443, Tempo: 0.839437
	Custo: 31443, Tempo: 1.007679
	Custo: 31443, Tempo: 0.967412
	Custo: 31443, Tempo: 0.832549
	Custo: 31443, Tempo: 0.807689
